widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,My,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
2,fellow,4.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
3,citizens,8.0,3.0,1.0,NNS,nsubj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
4,",",,,,",",,,,,,,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
5,today,4.0,2.0,1.0,NN,advmod,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
6,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
7,celebrate,8.0,3.0,2.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
8,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
9,mystery,6.0,3.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
10,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
11,American,8.0,4.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
12,renewal,6.0,3.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
13,.,,,,.,,,,,,,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
1,This,3.0,1.0,1.0,DT,det,6.0,6.0,5.0,6.0,-4.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
2,ceremony,8.0,4.0,2.0,NN,nsubjpass,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
3,is,2.0,1.0,1.0,VBZ,auxpass,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
4,held,4.0,1.0,1.0,VBN,ccomp,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
5,in,2.0,1.0,0.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
6,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
7,depth,4.0,1.0,1.0,NN,nmod:in,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
8,of,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
9,winter,5.0,2.0,1.0,NN,nmod:of,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
10,",",,,,",",,,,,,,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
