widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
2,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
3,Justice,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
4,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
5,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
6,Vice,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
7,President,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
8,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
9,my,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
10,friends,6.0,1.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,0.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
11,:,,,,:,,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
1,You,2.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"You will understand and , I believe , agree with my wish that the form of this inauguration be simple and its words brief .",8,8
2,will,3.0,1.0,1.0,MD,aux,4.0,4.0,3.0,4.0,-2.75,2,"You will understand and , I believe , agree with my wish that the form of this inauguration be simple and its words brief .",8,8
3,understand,9.0,3.0,2.0,VB,root,2.0,2.0,2.0,2.0,-1.0,2,"You will understand and , I believe , agree with my wish that the form of this inauguration be simple and its words brief .",8,8
4,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,2,"You will understand and , I believe , agree with my wish that the form of this inauguration be simple and its words brief .",8,8
